epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,806.736,0.44251,0.4411,0.87586,0.99616,1,0.995,0.94219,0.3667,0.30344,0.80382,0.004786,0.004786,0.004786
81,816.165,0.43538,0.4213,0.87221,0.99551,1,0.995,0.94252,0.35933,0.29248,0.80147,0.00472,0.00472,0.00472
82,825.729,0.44506,0.42382,0.88153,0.99502,1,0.995,0.94024,0.35574,0.29305,0.79974,0.004654,0.004654,0.004654
83,835.016,0.4306,0.42239,0.87496,0.99678,1,0.995,0.94378,0.35126,0.28824,0.79993,0.004588,0.004588,0.004588
84,844.201,0.448,0.43578,0.87986,0.99612,1,0.995,0.9326,0.3589,0.2972,0.79977,0.004522,0.004522,0.004522
85,853.989,0.43731,0.43142,0.87505,0.99486,1,0.995,0.93741,0.35996,0.28542,0.80011,0.004456,0.004456,0.004456
86,863.338,0.44031,0.43216,0.87248,0.99487,1,0.995,0.9335,0.37632,0.29078,0.80818,0.00439,0.00439,0.00439
87,872.677,0.43227,0.43061,0.88042,0.99425,1,0.995,0.94537,0.33912,0.28092,0.79382,0.004324,0.004324,0.004324
88,882.054,0.43864,0.44754,0.87216,0.99387,0.99967,0.995,0.94474,0.34665,0.28704,0.79465,0.004258,0.004258,0.004258
89,890.99,0.42918,0.4204,0.87903,0.99324,1,0.995,0.9367,0.35747,0.29909,0.79708,0.004192,0.004192,0.004192
90,900.341,0.45079,0.4338,0.86901,0.99617,1,0.995,0.9412,0.35363,0.29085,0.79816,0.004126,0.004126,0.004126
91,909.811,0.43145,0.43686,0.87776,0.99639,1,0.995,0.94065,0.35368,0.28916,0.80127,0.00406,0.00406,0.00406
92,919.043,0.41147,0.39922,0.86262,0.99434,1,0.995,0.93834,0.35611,0.28556,0.80184,0.003994,0.003994,0.003994
93,928.363,0.42693,0.40657,0.87819,0.99364,1,0.995,0.94729,0.34212,0.28026,0.79848,0.003928,0.003928,0.003928
94,937.341,0.40347,0.39651,0.86687,0.996,1,0.995,0.94521,0.35712,0.28695,0.80069,0.003862,0.003862,0.003862
95,946.498,0.42905,0.40876,0.87756,0.99595,1,0.995,0.93691,0.36039,0.27525,0.80144,0.003796,0.003796,0.003796
96,956.105,0.41532,0.40177,0.86832,0.99473,1,0.995,0.9456,0.36385,0.28539,0.79682,0.00373,0.00373,0.00373
97,965.839,0.41595,0.41973,0.87423,0.99633,1,0.995,0.94922,0.33972,0.26451,0.79165,0.003664,0.003664,0.003664
98,975.508,0.41149,0.38041,0.8575,0.99615,1,0.995,0.94308,0.34522,0.26406,0.79185,0.003598,0.003598,0.003598
99,984.947,0.42,0.42212,0.87216,0.99583,1,0.995,0.95105,0.33406,0.26027,0.78902,0.003532,0.003532,0.003532
100,993.988,0.40875,0.3959,0.86375,0.99563,1,0.995,0.94164,0.35201,0.2738,0.79398,0.003466,0.003466,0.003466
101,1003.02,0.41549,0.39442,0.85586,0.99516,1,0.995,0.94538,0.36073,0.28032,0.79827,0.0034,0.0034,0.0034
102,1012.37,0.41628,0.39221,0.87176,0.99492,1,0.995,0.94496,0.34669,0.2684,0.79236,0.003334,0.003334,0.003334
103,1022.19,0.40743,0.38513,0.86651,0.99568,1,0.995,0.94978,0.34225,0.26479,0.79491,0.003268,0.003268,0.003268
104,1032.09,0.41398,0.39392,0.85973,0.99628,1,0.995,0.94619,0.34532,0.26791,0.79371,0.003202,0.003202,0.003202
105,1041.77,0.40051,0.38434,0.86354,0.99537,1,0.995,0.9443,0.33443,0.27208,0.79018,0.003136,0.003136,0.003136
106,1051.33,0.40782,0.37938,0.86514,0.99401,1,0.995,0.95141,0.3334,0.25874,0.78959,0.00307,0.00307,0.00307
107,1060.79,0.40429,0.3776,0.8572,0.99666,1,0.995,0.94742,0.34233,0.25662,0.79023,0.003004,0.003004,0.003004
