epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,253.017,0.74824,0.62722,1.06937,0.82285,0.88666,0.89724,0.61789,1.01403,0.72157,1.20135,0.000976293,0.000976293,0.000976293
98,256.281,0.73339,0.6415,1.07555,0.88732,0.84342,0.90743,0.63936,0.95457,0.68373,1.15296,0.000971577,0.000971577,0.000971577
99,259.526,0.74047,0.61315,1.0597,0.873,0.88975,0.92087,0.65302,0.91173,0.69147,1.12877,0.000966861,0.000966861,0.000966861
100,262.956,0.79412,0.6599,1.10296,0.89857,0.88318,0.91069,0.65768,0.91181,0.65798,1.11026,0.000962146,0.000962146,0.000962146
101,266.259,0.73867,0.60119,1.05407,0.86613,0.87259,0.91944,0.66218,0.91598,0.66534,1.093,0.00095743,0.00095743,0.00095743
102,269.51,0.74709,0.59712,1.06984,0.91677,0.83108,0.90949,0.66587,0.91599,0.71666,1.10743,0.000952714,0.000952714,0.000952714
103,272.731,0.72076,0.57786,1.04288,0.90706,0.7886,0.89595,0.6495,0.91747,0.81886,1.12538,0.000947999,0.000947999,0.000947999
104,275.946,0.74754,0.61593,1.06671,0.88911,0.83732,0.89759,0.64671,0.95078,0.78486,1.14626,0.000943283,0.000943283,0.000943283
105,279.394,0.72994,0.62679,1.06571,0.87586,0.7887,0.88753,0.63671,0.97369,0.73935,1.1572,0.000938567,0.000938567,0.000938567
106,282.701,0.75678,0.61649,1.08113,0.82595,0.82505,0.88509,0.649,0.93222,0.74343,1.1231,0.000933851,0.000933851,0.000933851
107,286.026,0.72925,0.58755,1.05898,0.88921,0.82854,0.91846,0.67614,0.90579,0.7059,1.10943,0.000929136,0.000929136,0.000929136
108,289.28,0.74195,0.62078,1.06813,0.88704,0.85583,0.90525,0.66508,0.91546,0.73477,1.11887,0.00092442,0.00092442,0.00092442
109,292.535,0.72913,0.60269,1.06524,0.85602,0.85096,0.91039,0.66132,0.92841,0.71882,1.1235,0.000919704,0.000919704,0.000919704
110,295.83,0.74005,0.60043,1.06139,0.86551,0.84641,0.91661,0.66168,0.91925,0.73965,1.12366,0.000914989,0.000914989,0.000914989
111,298.961,0.71039,0.58853,1.05661,0.90783,0.85602,0.92563,0.66761,0.93434,0.70757,1.14224,0.000910273,0.000910273,0.000910273
112,302.264,0.74035,0.60472,1.07324,0.88348,0.88372,0.92788,0.66636,0.97353,0.66079,1.13747,0.000905557,0.000905557,0.000905557
113,305.467,0.73412,0.59801,1.05614,0.91417,0.83859,0.91717,0.67375,0.93557,0.65723,1.11678,0.000900842,0.000900842,0.000900842
114,308.751,0.72759,0.57662,1.0448,0.92662,0.89959,0.93253,0.67512,0.95303,0.67064,1.1284,0.000896126,0.000896126,0.000896126
115,312.078,0.71876,0.58396,1.04501,0.9226,0.90586,0.94027,0.68093,0.94832,0.64469,1.16087,0.00089141,0.00089141,0.00089141
